school,district,last_open_year,closed_for_sy,enrollment,level,city,county_fips,locale,town_lost_last_school,successor_school
MAYFIELD TREATMT CTR FOR BOYS,CALLOWAY CO,1997,1998,31,unknown,,,7,,
FRANCES EL,CRITTENDEN CO,1997,1998,87,unknown,,,6,,
TOLU EL,CRITTENDEN CO,1997,1998,84,unknown,,,7,,
IRVINE EL,ESTILL CO,1997,1998,203,unknown,,,6,,
HARGETT EL,ESTILL CO,1997,1998,158,unknown,,,6,,
RAVENNA EL,ESTILL CO,1997,1998,116,unknown,,,7,,
ESTILL SPRINGS MID,ESTILL CO,1997,1998,395,unknown,,,6,,
AUXIER EL,FLOYD CO,1997,1998,142,unknown,,,7,,
HAROLD EL,FLOYD CO,1997,1998,205,unknown,,,7,,
MARTIN MIDDLE SCHOOL,FLOYD CO,1997,1998,166,unknown,,,7,,
MELVIN EL,FLOYD CO,1997,1998,249,unknown,,,7,,
PRATER EL,FLOYD CO,1997,1998,181,unknown,,,7,,
JACKSON EL,JACKSON IND,1997,1998,226,unknown,,,7,,
JACKSON HS,JACKSON IND,1997,1998,139,unknown,,,7,,
BURDINE EL,JENKINS IND,1997,1998,193,unknown,,,6,,
MCROBERTS EL,JENKINS IND,1997,1998,57,unknown,,,7,,
CAMPBELLS BRANCH EL,LETCHER CO,1997,1998,74,unknown,,,7,,
EMINENCE MIDDLE,EMINENCE IND,1998,1999,159,unknown,EMINENCE,,7,False,
MAGOFFIN ELEM,MAGOFFIN CO,1998,1999,122,unknown,SALYERSVILLE,,7,False,
MEMORIAL EL,SOMERSET IND,1998,1999,264,unknown,SOMERSET,,6,False,
MACKVILLE EL,WASHINGTON CO,1998,1999,161,unknown,MACKVILLE,,7,True,
WILLISBURG EL,WASHINGTON CO,1998,1999,297,unknown,WILLISBURG,,7,False,
ARJAY EL,BELL CO,1999,2000,130,unknown,ARJAY,,7,True,
CUBAGE EL,BELL CO,1999,2000,91,unknown,CUBBAGE,,7,True,
HARMONY EL,BELL CO,1999,2000,81,unknown,PINEVILLE,,7,False,
PAGE EL,BELL CO,1999,2000,174,unknown,PINEVILLE,,7,False,
WARD CHAPEL EL,BELL CO,1999,2000,200,unknown,MIDDLESBORO,,6,False,
BELL CO MID,BELL CO,1999,2000,452,unknown,PINEVILLE,,7,False,
LYNN EL,GREENUP CO,1999,2000,114,unknown,GREENUP,,8,False,
WARNOCK EL,GREENUP CO,1999,2000,113,unknown,GREENUP,,8,False,
GRASSY EL,MARTIN CO,1999,2000,135,unknown,INEZ,,7,False,
TOMAHAWK EL,MARTIN CO,1999,2000,206,unknown,TOMAHAWK,,7,False,
NEW HAVEN EL,NELSON CO,1999,2000,219,unknown,NEW HAVEN,,7,False,
NEW HAVEN MIDDLE,NELSON CO,1999,2000,151,unknown,NEW HAVEN,,7,False,
NELSON CO CHOICE CTR,NELSON CO,1999,2000,9,unknown,BARDSTOWN,,6,False,
JOHN ADAIR MS,ADAIR CO,2000,2001,543,middle,COLUMBIA,,6,False,
BLACKMONT EL,BELL CO,2000,2001,183,elementary,HULEN,,7,True,
WESTERN EL,HARDIN CO,2000,2001,106,elementary,EASTVIEW,,7,True,
CUMBERLAND MIDDLE,HARLAN CO,2000,2001,281,middle,CUMBERLAND,,6,False,
LOYALL EL,HARLAN CO,2000,2001,288,elementary,LOYALL,,7,True,
VERDA EL,HARLAN CO,2000,2001,285,elementary,VERDA,,7,True,
FARMERS EL,ROWAN CO,2000,2001,144,elementary,FARMERS,,7,True,
WESTERN ELEMENTARY SCHOOL,ANDERSON COUNTY,2001,2002,142,elementary,LAWRENCEBURG,,7,False,
TOMAHAWK ELEMENTARY SCHOOL,MARTIN COUNTY,2001,2002,203,elementary,TOMAHAWK,,7,True,
NEW HORIZONS HIGH SCHOOL,NELSON COUNTY,2001,2002,28,high,BARDSTOWN,,7,False,
