source_file,school,demographic_or_level,field,value
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,English Learner including Monitored,Safety Index,71.1
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,English Learner,Climate Index,79.1
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,English Learner,Safety Index,73.8
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Non English Learner,Climate Index,76.2
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Non English Learner,Safety Index,72.1
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Non-English Learner or monitored,Climate Index,76.7
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Non-English Learner or monitored,Safety Index,72.5
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Foster Care,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Foster Care,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Non-Foster,Climate Index,76.4
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Non-Foster,Safety Index,72.1
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Homeless,Climate Index,67.7
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Homeless,Safety Index,65.7
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Non-Homeless,Climate Index,77.1
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Non-Homeless,Safety Index,72.7
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Migrant,Climate Index,80.5
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Migrant,Safety Index,72.1
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Non-Migrant,Climate Index,76.3
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Non-Migrant,Safety Index,72.3
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Military Dependent,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Military Dependent,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Non-Military,Climate Index,76.5
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Non-Military,Safety Index,72.3
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,All Students,Climate Index,79.2
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,All Students,Safety Index,74.3
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Female,Climate Index,80.2
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Female,Safety Index,75.1
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Male,Climate Index,78.2
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Male,Safety Index,73.4
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,African American,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,African American,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,American Indian or Alaska Native,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,American Indian or Alaska Native,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Asian,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Asian,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Hispanic or Latino,Climate Index,75.4
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Hispanic or Latino,Safety Index,71.4
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Native Hawaiian or Pacific Islander,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Native Hawaiian or Pacific Islander,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Two or More Races,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Two or More Races,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,White (non-Hispanic),Climate Index,80.2
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,White (non-Hispanic),Safety Index,74.9
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Economically Disadvantaged,Climate Index,77.8
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Economically Disadvantaged,Safety Index,72.8
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Non Economically Disadvantaged,Climate Index,80.8
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Non Economically Disadvantaged,Safety Index,76.0
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Students with Disabilities (IEP),Climate Index,79.8
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Students with Disabilities (IEP),Safety Index,75.9
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Alternate Assessment,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Alternate Assessment,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Student without Disabilities (IEP),Climate Index,79.0
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Student without Disabilities (IEP),Safety Index,73.8
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,English Learner including Monitored,Climate Index,77.6
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,English Learner including Monitored,Safety Index,71.8
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,English Learner,Climate Index,78.7
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,English Learner,Safety Index,73.3
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Non English Learner,Climate Index,79.2
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Non English Learner,Safety Index,74.3
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Non-English Learner or monitored,Climate Index,79.3
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Non-English Learner or monitored,Safety Index,74.5
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Foster Care,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Foster Care,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Non-Foster,Climate Index,79.2
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Non-Foster,Safety Index,74.3
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Homeless,Climate Index,81.5
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Homeless,Safety Index,77.1
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Non-Homeless,Climate Index,78.9
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Non-Homeless,Safety Index,73.9
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Migrant,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Migrant,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Non-Migrant,Climate Index,79.2
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Non-Migrant,Safety Index,74.2
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Military Dependent,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Military Dependent,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Non-Military,Climate Index,79.2
KYRC25_ACCT_Index_Scores.csv,Cane Ridge Elementary School,Non-Military,Safety Index,74.3
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,All Students,Climate Index,78.0
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,All Students,Safety Index,73.5
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Female,Climate Index,79.5
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Female,Safety Index,74.5
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Male,Climate Index,76.7
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Male,Safety Index,72.7
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,African American,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,African American,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,American Indian or Alaska Native,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,American Indian or Alaska Native,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Asian,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Asian,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Hispanic or Latino,Climate Index,78.1
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Hispanic or Latino,Safety Index,76.4
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Native Hawaiian or Pacific Islander,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Native Hawaiian or Pacific Islander,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Two or More Races,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Two or More Races,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,White (non-Hispanic),Climate Index,77.9
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,White (non-Hispanic),Safety Index,72.9
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Economically Disadvantaged,Climate Index,77.2
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Economically Disadvantaged,Safety Index,73.8
KYRC25_ACCT_Index_Scores.csv,North Middletown Elementary School,Non Economically Disadvantaged,Climate Index,80.1
